#node1	node2	combined_score
AKT2	MAPK1	907
AKT2	PIK3R2	905
AKT2	PIK3R3	905
AKT2	MAPK3	907
AKT2	PIK3CA	905
AKT2	RPS6KB2	905
AKT2	PDPK1	944
AKT2	MTOR	903
AKT2	FOXO4	928
AKT2	PIK3CD	925
AKT2	PRKCZ	926
AKT2	PIK3R6	900
AKT2	RAF1	900
AKT2	PIK3R5	900
AKT2	AKT3	912
AKT2	PIK3R1	905
AKT2	PIK3CB	924
AKT3	MAPK1	907
AKT3	PIK3R2	905
AKT3	PIK3R3	905
AKT3	MAPK3	907
AKT3	PIK3CA	905
AKT3	RPS6KB2	905
AKT3	PDPK1	924
AKT3	MTOR	903
AKT3	FOXO4	928
AKT3	PIK3CD	905
AKT3	PRKCZ	958
AKT3	PIK3R5	900
AKT3	RAF1	900
AKT3	PIK3R1	905
AKT3	PIK3R6	900
AKT3	PIK3CB	905
ALK	PIK3R2	914
ALK	PLCG1	957
ALK	PIK3R3	905
ALK	PIK3CA	902
ALK	EML4	902
ALK	PIK3CD	902
ALK	JAK2	912
ALK	PLCG2	900
ALK	PIK3CB	915
ALK	JAK1	900
ALK	JAK3	934
ALK	PIK3R1	935
ATG12	GABARAPL2	926
ATG12	ATG3	999
ATG12	GABARAP	930
ATG12	ATG7	991
ATG12	GABARAPL1	926
ATG3	GABARAPL2	991
ATG3	MAP1LC3A	943
ATG3	MAP1LC3B	951
ATG3	ATG7	999
ATG3	GABARAP	988
ATG3	GABARAPL1	977
ATG7	GABARAPL2	991
ATG7	GABARAP	994
ATG7	MAP1LC3A	945
ATG7	MAP1LC3B	954
ATG7	GABARAPL1	986
CBLB	PIK3R2	930
CBLB	PIK3R3	905
CBLB	PIK3CA	900
CBLB	PIK3CD	900
CBLB	PIK3R1	973
CBLB	PIK3CB	900
CLCF1	IL6ST	900
CLCF1	LIFR	900
CREB3L2	MAPK1	900
CREB3L2	MAPK3	900
DAB1	PIK3R2	900
DAB1	PIK3R3	900
DAB1	PIK3CA	900
DAB1	PIK3CB	900
DAB1	PIK3CD	900
DAB1	PIK3R1	900
EBI3	IL6ST	950
EBI3	IL27RA	964
EIF4EBP1	MAPK1	930
EIF4EBP1	MAPK3	905
EIF4EBP1	EIF4EBP2	920
EIF4EBP1	MTOR	999
EIF4EBP2	MTOR	930
ELK1	MAPK1	992
ELK1	MAPK3	986
ELK1	PRKCG	900
ELK1	PRKCB	900
EML4	PIK3R2	900
EML4	PLCG1	900
EML4	PIK3R3	900
EML4	PIK3CA	903
EML4	PLCG2	900
EML4	PIK3CD	903
EML4	PIK3CB	903
EML4	PIK3R1	900
EML4	JAK1	902
EML4	JAK3	902
EML4	JAK2	902
ERBB3	PIK3R2	976
ERBB3	PLCG1	935
ERBB3	PIK3R3	941
ERBB3	GAB1	903
ERBB3	PIK3CA	957
ERBB3	PLCG2	919
ERBB3	JAK1	905
ERBB3	PIK3CD	900
ERBB3	JAK2	922
ERBB3	PIK3CB	912
ERBB3	PIK3R1	992
FOXO4	MAPK1	901
FOXO4	MAPK3	901
FOXO4	STAT3	900
FUNDC1	GABARAPL2	920
FUNDC1	GABARAP	900
FUNDC1	ULK1	911
FUNDC1	GABARAPL1	912
FUNDC1	MAP1LC3B	986
GAB1	PIK3R2	916
GAB1	PIK3R3	916
GAB1	IL6R	900
GAB1	PIK3CA	900
GAB1	PIK3CB	900
GAB1	PIK3CD	900
GAB1	GAB2	919
GAB1	PIK3R1	987
GAB1	PTPN11	999
GAB2	PIK3R2	929
GAB2	TRAF2	900
GAB2	PIK3R3	900
GAB2	PIK3CA	900
GAB2	PIK3CD	900
GAB2	PLCG2	926
GAB2	PIK3CB	926
GAB2	PIK3R1	986
GAB2	PTPN11	988
GABARAP	GABARAPL2	917
GABARAP	TP53INP2	905
GABARAP	GABARAPL1	913
GABARAP	ULK1	913
GABARAP	SQSTM1	990
GABARAP	NBR1	988
GABARAPL1	GABARAPL2	917
GABARAPL1	NBR1	982
GABARAPL1	TP53INP2	905
GABARAPL1	SQSTM1	981
GABARAPL2	TP53INP2	924
GABARAPL2	SQSTM1	988
GABARAPL2	NBR1	984
HCST	PIK3R2	900
HCST	PLCG1	900
HCST	PIK3CA	900
HCST	PIK3R3	900
HCST	PIK3CB	903
HCST	PIK3CD	900
HCST	PLCG2	900
HCST	PIK3R1	900
IFNGR1	PIK3R2	900
IFNGR1	PIK3R3	900
IFNGR1	PIK3CA	900
IFNGR1	STAT1	983
IFNGR1	PIK3CD	900
IFNGR1	PIK3CB	900
IFNGR1	PIK3R1	900
IFNGR1	JAK3	902
IFNGR1	TYK2	902
IFNGR1	JAK2	950
IFNGR1	JAK1	961
IL11	IL6ST	925
IL12RB1	STAT3	905
IL12RB1	STAT4	905
IL12RB1	JAK2	904
IL12RB1	TYK2	905
IL12RB1	JAK1	905
IL17D	IL27RA	900
IL17D	TYK2	900
IL17D	JAK2	900
IL17D	JAK1	900
IL21R	STAT3	900
IL21R	JAK1	926
IL21R	IL2RG	900
IL27RA	JAK1	926
IL27RA	STAT1	926
IL27RA	IL6ST	958
IL2RG	STAT3	900
IL2RG	JAK3	960
IL2RG	JAK1	926
IL6R	PLCG1	900
IL6R	STAT3	926
IL6R	PLCG2	900
IL6R	JAK2	900
IL6R	JAK1	926
IL6R	IL6ST	994
IL6ST	PIK3R2	900
IL6ST	PIK3R3	900
IL6ST	PIK3CA	900
IL6ST	STAT3	926
IL6ST	PIK3CD	900
IL6ST	PIK3CB	900
IL6ST	JAK3	900
IL6ST	PIK3R1	926
IL6ST	JAK2	926
IL6ST	LIFR	948
IL6ST	JAK1	983
INPPL1	PIK3R2	931
INPPL1	PIK3R3	900
INPPL1	PIK3CA	900
INPPL1	PIK3CD	900
INPPL1	PIK3CB	900
INPPL1	PIK3R1	959
IRF9	STAT3	932
IRF9	STAT2	989
IRF9	STAT4	909
IRF9	STAT1	976
IRF9	TYK2	900
IRF9	JAK1	900
IRS1	PIK3R2	950
IRS1	PIK3R3	969
IRS1	PIK3CA	984
