#node1	node2	combined_score
HSP90AA1	STUB1	999
UBE2D2	CBL	999
UBC	AXIN1	999
UBC	CTNNB1	999
CHUK	NFKB2	999
SHC1	CBL	999
TCF7L2	CTNNB1	999
SHC1	EGFR	999
IKBKB	UBC	999
JAK2	SOCS1	999
UBC	RPS27A	999
NFKB1	BCL3	999
IKBKB	IKBKG	999
CTNNB1	APC	999
CTNNB1	CDH1	999
UBC	STUB1	999
BTRC	NFKB1	999
PSMC2	PSMC1	999
UBC	CCNB1	999
PSMD14	UBC	999
PSMD14	PSMC1	999
CTNNBIP1	CTNNB1	999
IKBKG	NFKBIA	999
UBC	HSP90AA1	999
UBE2D2	STUB1	999
CHUK	NFKBIA	999
RELA	CHUK	999
EPN1	UBC	999
HGS	EGFR	999
PSMD4	PSMC1	999
NFKB2	BCL3	999
UBC	HGS	999
UBE2D1	STUB1	999
UBC	PSMC1	999
UBE2D2	UBC	999
CTNNA1	CDH1	999
PSMD4	PSMC2	999
TGFBR1	UBC	999
AR	HSP90AA1	999
UBC	SMAD7	999
BTRC	NFKB2	999
RELA	UBC	999
IKBKB	NFKB1	999
CTNNB1	CDH5	999
UBE2D1	UBC	999
UBC	NFKBIA	999
NFE2L2	UBC	999
AXIN1	APC	999
CTNNB1	LEF1	999
CUL1	SKP1	999
CTNNB1	CTNNA1	999
TGFBR1	TGFBR2	999
ITCH	UBC	999
RELA	NFKBIA	999
HGS	TSG101	999
UBC	TSG101	999
PSMD14	PSMC2	999
CTNNB1	SKP1	999
UBC	EGFR	999
BTRC	NFKBIA	999
GSK3B	AXIN1	999
TGFBR1	SMAD7	999
UBC	CBL	999
UBC	PSMC2	999
NFKB1	NFKBIA	999
BTRC	SKP1	999
CTNNB1	CDH2	999
PSMD14	PSMD4	999
UBC	CUL1	999
BTRC	CTNNB1	999
CTNNB1	PSEN1	999
NFKB2	UBC	999
BTRC	CUL1	999
PSMD4	UBC	999
CTNND1	CDH1	999
TCF4	CTNNB1	999
IKBKB	RELA	999
IKBKB	CHUK	999
RHOA	UBC	999
CTNNB1	GSK3B	999
EGFR	STAT3	999
AR	CTNNB1	999
CHUK	IKBKG	999
RELA	NFKB1	999
CTNNB1	AXIN1	999
IKBKB	NFKBIA	999
EGFR	CBL	999
NEDD4	UBC	999
JAK2	STAT3	998
HSP90AA1	EGFR	998
UBE2D2	NEDD4	998
GSK3B	APC	998
UBC	CDH1	998
JAK1	STAT3	998
CTNNA1	CDH2	998
IKBKG	UBC	998
AR	UBC	998
UBC	SKP1	997
PSEN1	CDH1	996
RELA	NFKB2	996
CTNND1	CDH2	996
UBC	STAT3	996
PTGER2	prostaglandin .	996
CTNNA3	CTNNB1	995
EGFR	RPS27A	995
PSMD4	RPS27A	995
CHUK	NFKB1	995
PTGER3	prostaglandin .	995
RPS27A	NFKBIA	995
CTNND1	EGFR	995
CXCR2	IL8	995
CTNNB1	EGFR	995
CDH5	CTNNA1	995
SKP1	NFKBIA	994
BTRC	APC	994
CUL1	NFKBIA	994
UBC	NFKB1	994
IKBKB	BTRC	994
EGFR	CDH1	993
EPN1	EGFR	991
BTRC	GSK3B	991
NFKB2	NFKB1	990
RELA	IL8	990
UBE2D2	RPS27A	990
PTGER1	prostaglandin .	990
UBE2D1	RPS27A	990
UBE2D2	UBE2D1	989
JAK2	UBC	987
BTRC	UBC	987
UBE2D1	CBL	986
CTNNB1	CUL1	986
CTNNA2	CTNNB1	984
UBE2D1	NEDD4	984
CTNND1	CTNNB1	984
CTNNA1	EGFR	984
HSP90AA1	PPARA	981
JAK1	SOCS1	981
CTNND1	CDH5	981
TGFBR1	TGFB2	981
SHC1	JAK2	980
TGFBR2	UBC	980
AXIN1	SMAD7	980
AR	GSK3B	980
TGFB2	TGFBR2	979
TGFBR2	SMAD7	979
TGFBR2	TGFBR3	979
CTNNB1	SMAD7	979
IKBKB	NFKB2	977
UBC	JAK1	975
BTRC	PSMD4	975
CHUK	UBC	974
UBC	PSEN1	972
RELA	BCL3	971
TGFBR1	CTNNB1	968
CTNNA1	APC	968
PSMD4	CUL1	967
UBC	GSK3B	966
RHOA	RPS27A	966
RELA	RPS27A	965
NFKBIZ	NFKB1	965
AR	STUB1	964
JAK1	STAT2	964
JAK2	STAT2	964
RELA	STAT3	962
CTNNB1	NFKB1	962
JAK2	NFKBIA	958
JAK1	EGFR	957
UBE2D2	BTRC	956
TCF4	LEF1	955
TGFBR2	TGFBRAP1	955
RELA	BTRC	955
RELA	UBE2D1	955
